Id,state,abbrev,income50k,hsDegplus,exercise,healthcareY,schEnrolled
1,Alabama,AL,38.8,84.7,72.4,82.5,85.7
2,Alaska,AK,55.6,92.9,80.8,82.9,85.2
3,Arizona,AZ,40.8,86.1,78.8,82.1,86.7
4,Arkansas,AR,32.9,85.3,69.4,79.8,87.9
5,California,CA,44.6,82.1,78.3,82.2,84
6,Colorado,CO,53,90.5,83.6,84.7,85.4
7,Connecticut,CT,56.5,90.1,79.4,89.5,65.3
8,Delaware,DE,48.4,89,75.1,89.2,79.9
9,District of Columbia,DC,53.7,90.2,79.2,90.4,27.3
10,Florida,FL,40.1,87.2,76.3,77.2,79.5
11,Georgia,GA,41.5,85.6,76.4,75,81.4
12,Hawaii,HI,49.1,91.7,80.4,90.2,78.4
13,Idaho,ID,41.9,90.1,81.3,79.8,79.8
14,Illinois,IL,48.1,88.2,76.1,85.7,73.3
15,Indiana,IN,41.3,88.4,73.9,82,79.1
16,Iowa,IA,47.7,92.1,77.4,90.4,73.6
17,Kansas,KS,45.9,90.3,76.2,82.4,85.1
18,Kentucky,KY,37.4,84.5,71.8,87.8,82.9
19,Louisiana,LA,40.8,83.6,70.5,77.3,81.8
20,Maine,ME,42.9,91.7,80.3,86.1,74.7
21,Maryland,MD,58,89.6,78.6,89,81.4
22,Massachusetts,MA,54,89.7,79.9,94.6,56
23,Michigan,MI,44.7,89.9,74.5,87.3,85.7
24,Minnesota,MN,53.6,92.6,79.8,91.2,75.1
25,Mississippi,MS,30.5,82.8,68.4,77,89.1
26,Missouri,MO,44.5,88.9,75,83.9,75.4
27,Montana,MT,41.4,92.6,80.4,83.9,89.3
28,Nebraska,NE,46.6,90.3,78.7,84.7,83.4
29,Nevada,NV,44,85.1,77.5,79.2,85.2
30,New Hampshire,NH,55.8,92.2,80.7,85.8,66.6
31,New Jersey,NJ,55.9,89.1,76.7,85,75.9
32,New Mexico,NM,34.6,84.2,76.7,81.2,90
33,New York,NY,45.9,85.7,74.1,85.4,64.8
34,North Carolina,NC,40,86.4,76.8,80,82.3
35,North Dakota,ND,51.8,92.2,78.7,89.6,90.2
36,Ohio,OH,44,89.4,75.1,87.5,77.6
37,Oklahoma,OK,40.2,87.3,71.7,82.8,84.2
38,Oregon,OR,43.4,89.7,83.5,86.5,84.6
39,Pennsylvania,PA,47.1,89.4,76.7,87.3,62.7
40,Rhode Island,RI,49.1,85.8,77.5,90.2,59.8
41,South Carolina,SC,37.7,86.1,74.7,78.7,79.4
42,South Dakota,SD,45.2,91.7,78.8,87.8,82.9
43,Tennessee,TN,37.2,85.8,73.2,82.3,75.3
44,Texas,TX,42.4,82.2,72.4,70.8,85.5
45,Utah,UT,51.5,91.4,83.2,83.8,74.6
46,Vermont,VT,48.2,92,81,91.6,66.2
47,Virginia,VA,52.1,88.5,76.5,84.2,80.5
48,Washington,WA,51.9,90.4,81.9,87.1,82.8
49,West Virginia,WV,35.3,85.2,71.3,87,86.2
50,Wisconsin,WI,46.6,91.4,78.8,89.6,81.5
51,Wyoming,WY,50.7,92.6,77.9,81.5,92.6
52,Puerto Rico,PR,7.9,73.8,59.4,92.8,40.1
